 "Provinsi" , "kode_provinsi" , "PDRB_per_kapita_2014_juta_rupiah" , "Longitude" , "Latitude" , "tahun" , "jumlah_penduduk" , "jumlah_penderita" , "jumlah_penerima" , "persentasefilariasis" , "persentasepenerima" ,
 "Kalimantan Timur" , "64" , "155,14" , "116.4333" , "0.95" , "2008" , "3101000" , "409" , "866396" , "0.013189293776201225411157" , "0.013189293776201225411157" ,
 "Kepulauan Bangka Belitung" , "19" , "41,96" , "106.9833" , "-2.1667" , "2012" , "1102400" , "207" , "0" , "0.018777213352685050798258" , "0.018777213352685050798258" ,
 "Kepulauan Bangka Belitung" , "19" , "41,96" , "106.9833" , "-2.1667" , "2008" , "1044700" , "207" , "224464" , "0.019814300756197951565042" , "0.019814300756197951565042" ,
 "Kepulauan Bangka Belitung" , "19" , "41,96" , "106.9833" , "-2.1667" , "2010" , "1073100" , "207" , "1043639" , "0.01928990774391948560246" , "0.01928990774391948560246" ,
 "Kepulauan Bangka Belitung" , "19" , "41,96" , "106.9833" , "-2.1667" , "2009" , "1059500" , "207" , "227644" , "0.019537517697026899480887" , "0.019537517697026899480887" ,
 "Kepulauan Bangka Belitung" , "19" , "41,96" , "106.9833" , "-2.1667" , "2011" , "1037800" , "207" , "0" , "0.019946039699364039313933" , "0.019946039699364039313933" ,
 "Kepulauan Riau" , "21" , "95,40" , "106.2333" , "1.9667" , "2009" , "1476154" , "31" , "746955" , "0.002100051891604805460676" , "0.002100051891604805460676" ,
 "Kepulauan Riau" , "21" , "95,40" , "106.2333" , "1.9667" , "2012" , "1649076" , "39" , "1082367" , "0.002364960741651688581969" , "0.002364960741651688581969" ,
 "Kepulauan Riau" , "21" , "95,40" , "106.2333" , "1.9667" , "2010" , "1533345" , "31" , "775894" , "0.002021723747754093175378" , "0.002021723747754093175378" ,
 "Kepulauan Riau" , "21" , "95,40" , "106.2333" , "1.9667" , "2008" , "1419635" , "31" , "718381" , "0.002183659884406907409298" , "0.002183659884406907409298" ,
 "Kepulauan Riau" , "21" , "95,40" , "106.2333" , "1.9667" , "2011" , "1501049" , "31" , "1044281" , "0.002065222387810124786066" , "0.002065222387810124786066" ,
 "Lampung" , "18" , "28,78" , "105.0167" , "-4.95" , "2011" , "8165309" , "74" , "1511294" , "0.000906273112260662762425" , "0.000906273112260662762425" ,
 "Lampung" , "18" , "28,78" , "105.0167" , "-4.95" , "2009" , "7943600" , "74" , "1029701" , "0.000931567551236215317991" , "0.000931567551236215317991" ,
 "Lampung" , "18" , "28,78" , "105.0167" , "-4.95" , "2010" , "8057200" , "74" , "1043639" , "0.00091843320260139999007" , "0.00091843320260139999007" ,
 "Lampung" , "18" , "28,78" , "105.0167" , "-4.95" , "2008" , "7643900" , "74" , "1015894" , "0.000968092204241290440743" , "0.000968092204241290440743" ,
 "Lampung" , "18" , "28,78" , "105.0167" , "-4.95" , "2012" , "8271097" , "74" , "1530857" , "0.000894681805811248495816" , "0.000894681805811248495816" ,
 "Maluku" , "81" , "19,15" , "130.3167" , "-5.5333" , "2008" , "1121619" , "70" , "230198" , "0.006240978442768890327285" , "0.006240978442768890327285" ,
 "Maluku" , "81" , "19,15" , "130.3167" , "-5.5333" , "2010" , "1121426" , "70" , "163827" , "0.006242052529547201509506" , "0.006242052529547201509506" ,
 "Maluku" , "81" , "19,15" , "130.3167" , "-5.5333" , "2009" , "1121810" , "70" , "230238" , "0.006239915850277676255337" , "0.006239915850277676255337" ,
 "Maluku" , "81" , "19,15" , "130.3167" , "-5.5333" , "2011" , "1120179" , "70" , "655321" , "0.006249001275688974708506" , "0.006249001275688974708506" ,
 "Maluku" , "81" , "19,15" , "130.3167" , "-5.5333" , "2012" , "1117730" , "70" , "493514" , "0.00626269313698299231478" , "0.00626269313698299231478" ,
 "Maluku Utara" , "82" , "21,12" , "126.9" , "-0.3833" , "2012" , "861600" , "27" , "297007" , "0.003133704735376044568245" , "0.003133704735376044568245" ,
 "Maluku Utara" , "82" , "21,12" , "126.9" , "-0.3833" , "2010" , "844600" , "27" , "163827" , "0.003196779540610940089983" , "0.003196779540610940089983" ,
 "Maluku Utara" , "82" , "21,12" , "126.9" , "-0.3833" , "2008" , "826500" , "27" , "74510" , "0.003266787658802177858439" , "0.003266787658802177858439" ,
 "Maluku Utara" , "82" , "21,12" , "126.9" , "-0.3833" , "2009" , "835100" , "27" , "75285" , "0.0032331457310501736319" , "0.0032331457310501736319" ,
 "Maluku Utara" , "82" , "21,12" , "126.9" , "-0.3833" , "2011" , "853100" , "27" , "258745" , "0.003164927909975383894033" , "0.003164927909975383894033" ,
 "Nusa Tenggara Barat" , "52" , "17,23" , "117.5833" , "-7.8667" , "2010" , "4337000" , "71" , "506406" , "0.001637076320036891860733" , "0.001637076320036891860733" ,
 "Nusa Tenggara Barat" , "52" , "17,23" , "117.5833" , "-7.8667" , "2012" , "4973000" , "71" , "520645" , "0.001427709632012869495274" , "0.001427709632012869495274" ,
 "Nusa Tenggara Barat" , "52" , "17,23" , "117.5833" , "-7.8667" , "2009" , "4763100" , "71" , "499193" , "0.00149062585291091935924" , "0.00149062585291091935924" ,
 "Nusa Tenggara Barat" , "52" , "17,23" , "117.5833" , "-7.8667" , "2011" , "4905200" , "71" , "513546" , "0.00144744352931582810079" , "0.00144744352931582810079" ,
 "Nusa Tenggara Barat" , "52" , "17,23" , "117.5833" , "-7.8667" , "2008" , "4701100" , "71" , "0" , "0.001510284826955393418561" , "0.001510284826955393418561" ,
 "Nusa Tenggara Timur" , "53" , "13,62" , "122.0667" , "-9.4" , "2012" , "4656340" , "1730" , "3128952" , "0.037153644278553542052341" , "0.037153644278553542052341" ,
 "Nusa Tenggara Timur" , "53" , "13,62" , "122.0667" , "-9.4" , "2011" , "4502857" , "1730" , "1882140" , "0.038420051980331598360774" , "0.038420051980331598360774" ,
 "Nusa Tenggara Timur" , "53" , "13,62" , "122.0667" , "-9.4" , "2010" , "4529000" , "1730" , "561629" , "0.038198277765511150364318" , "0.038198277765511150364318" ,
 "Nusa Tenggara Timur" , "53" , "13,62" , "122.0667" , "-9.4" , "2008" , "4417600" , "1682" , "112502" , "0.038074972835929011227816" , "0.038074972835929011227816" ,
 "Nusa Tenggara Timur" , "53" , "13,62" , "122.0667" , "-9.4" , "2009" , "4472300" , "1730" , "790805" , "0.038682557073541578158889" , "0.038682557073541578158889" ,
 "Papua" , "94" , "39,85" , "137.8" , "-4.7667" , "2009" , "2176495" , "1158" , "648787" , "0.053204808648767858414561" , "0.053204808648767858414561" ,
 "Papua" , "94" , "39,85" , "137.8" , "-4.7667" , "2008" , "2131371" , "1127" , "331396" , "0.052876763360297198376068" , "0.052876763360297198376068" ,
 "Papua" , "94" , "39,85" , "137.8" , "-4.7667" , "2012" , "2704734" , "1346" , "1881095" , "0.049764597923492661385555" , "0.049764597923492661385555" ,
 "Papua" , "94" , "39,85" , "137.8" , "-4.7667" , "2011" , "2651778" , "1343" , "1467228" , "0.050645265176798359440345" , "0.050645265176798359440345" ,
 "Papua" , "94" , "39,85" , "137.8" , "-4.7667" , "2010" , "2598734" , "1343" , "983926" , "0.051679009856337739837936" , "0.051679009856337739837936" ,
